  PID TTY      STAT   TIME COMMAND
 1036 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
 1038 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1040 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
 1046 tty1     Sl+    0:07 /usr/bin/gnome-shell
 1065 ?        Ssl    0:00 /usr/lib/upower/upowerd
 1069 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
 1163 tty1     Sl+    0:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
 1233 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1238 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1240 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1244 ?        Ssl    0:00 /usr/bin/pulseaudio --daemonize=no
 1245 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 1258 ?        S<     0:00 [loop21]
 1268 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-wlp2s0.pid -lf /var/lib/NetworkManager/dhclient-77d73d70-8f89-4775-a15c-39835014ab01-wlp2s0.lease -cf /var/lib/NetworkManager/dhclient-wlp2s0.conf wlp2s0
 1275 tty1     Sl     0:00 ibus-daemon --xim --panel disable
 1278 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1281 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1283 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1292 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 1300 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/boltd
 1302 ?        Ssl    0:12 /usr/lib/packagekit/packagekitd
 1303 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1311 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1312 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1316 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1317 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1319 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1320 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1326 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1327 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1328 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1330 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1332 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1333 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1338 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1342 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1345 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1349 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1359 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
 1400 ?        Ssl    0:00 /usr/lib/colord/colord
 1754 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 2296 ?        Ss     0:00 /lib/systemd/systemd --user
 2297 ?        S      0:00 (sd-pam)
 2310 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 2314 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 2316 tty2     Sl+    2:16 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
 2324 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 2327 tty2     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 2422 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 2425 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 2430 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 2432 ?        Sl     0:03 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2464 tty2     Sl+    2:58 /usr/bin/gnome-shell
 2483 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 2493 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 2519 ?        S<l    0:01 /usr/bin/pulseaudio --start --log-target=syslog
 2532 ?        S<     0:00 [krfcommd]
 2542 tty2     Sl     0:12 ibus-daemon --xim --panel disable
 2546 tty2     Sl     0:00 /usr/lib/ibus/ibus-dconf
 2548 tty2     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 2551 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 2558 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 2565 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 2569 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 2577 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 2586 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 2596 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2599 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 2603 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 2607 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 2611 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 2616 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 2620 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 2621 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 2624 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 2626 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 2630 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 2639 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 2641 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 2648 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 2650 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 2658 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 2660 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 2661 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 2664 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 2665 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 2666 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 2667 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 2676 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 2695 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 2719 tty2     Sl+    0:08 nautilus-desktop
 2727 tty2     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 2745 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
 2751 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 2773 tty2     Sl     0:04 /usr/lib/ibus/ibus-engine-simple
 2778 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2751x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2751/2
 2795 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 2806 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2795x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2795/2
 3061 ?        Ss     0:00 /usr/sbin/uuidd --socket-activation
 3125 ?        Sl     0:59 evince /home/saravanane/Unix/TP2/tp2.pdf
 3130 ?        Ssl    0:00 /usr/lib/evince/evinced
 3138 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 3165 tty2     Sl+    0:00 update-notifier
 3168 tty2     SLl+   0:10 /usr/bin/gnome-software --gapplication-service
 3189 ?        Ssl    0:00 /usr/lib/fwupd/fwupd
 3224 ?        Ssl    0:53 /usr/lib/gnome-terminal/gnome-terminal-server
 3238 pts/0    Ss     0:00 bash
 3304 tty2     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
 3614 tty2     Sl+    0:00 /usr/lib/libreoffice/program/oosplash --writer
 3633 tty2     Sl+    0:16 /usr/lib/libreoffice/program/soffice.bin --writer --splash-pipe=5
 3671 ?        I      0:02 [kworker/u8:5-i9]
 3672 ?        Sl     0:12 /home/saravanane/.dropbox-dist/dropbox-lnx.x86_64-86.4.146/dropbox
 6252 ?        I<     0:00 [xfsalloc]
 6254 ?        I<     0:00 [xfs_mru_cache]
 6266 ?        S      0:00 [jfsIO]
 6267 ?        S      0:00 [jfsCommit]
 6268 ?        S      0:00 [jfsCommit]
 6269 ?        S      0:00 [jfsCommit]
 6270 ?        S      0:00 [jfsCommit]
 6271 ?        S      0:00 [jfsSync]
 7587 ?        I      0:01 [kworker/u8:1-ev]
 7604 ?        I<     0:00 [kworker/u9:1-MW]
 7618 ?        I      0:00 [kworker/u8:2-ev]
 7684 ?        I<     0:00 [kworker/u9:2-MW]
 7700 tty2     Sl+    0:37 /usr/lib/firefox/firefox -new-window
 7706 ?        I      0:00 [kworker/2:1-eve]
 7760 tty2     Sl+    0:02 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 204803 -parentBuildID 20191031085722 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 7700 true tab
